year,solar_price
1998,5.155906748
1999,4.689248499
2000,3.780627178
2001,3.542351214
2002,3.61881045
2003,3.409513043
2004,3.634380095
2005,3.672862673
2006,3.980828571
2007,3.996180224
2008,3.573531256
2009,2.405573304
2010,1.60678578
2011,1.441850102
2012,0.773330314
2013,0.823139721
2014,0.71
2015,0.6
2016,0.53994969
2017,0.492172063
2018,0.456645399
