date,year,month,state,type,source,mwh,,,
May-01,2001,5,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,81053,,,
May-01,2001,5,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,2739933,,,
May-01,2001,5,US-TOTAL,Total Electric Power Industry,Geothermal,1071380,,,
May-01,2001,5,US-TOTAL,Total Electric Power Industry,Other Biomass,1210741,,,
May-01,2001,5,US-TOTAL,Total Electric Power Industry,Pumped Storage,-622526,,,
May-01,2001,5,US-TOTAL,Total Electric Power Industry,Other,986268,,,
May-01,2001,5,US-TOTAL,Total Electric Power Industry,Total,300491621,,,
Jun-01,2001,6,US-TOTAL,Total Electric Power Industry,Coal,162615804,,,
Jun-01,2001,6,US-TOTAL,Total Electric Power Industry,Petroleum,11822841,,,
Jun-01,2001,6,US-TOTAL,Total Electric Power Industry,Natural Gas,57603154,,,
Jun-01,2001,6,US-TOTAL,Total Electric Power Industry,Other Gases,733198,,,
Jun-01,2001,6,US-TOTAL,Total Electric Power Industry,Nuclear,68023098,,,
Jun-01,2001,6,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,20727630,,,
Jun-01,2001,6,US-TOTAL,Total Electric Power Industry,Wind,669634,,,
Jun-01,2001,6,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,91143,,,
Jun-01,2001,6,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,2891025,,,
Jun-01,2001,6,US-TOTAL,Total Electric Power Industry,Geothermal,1087828,,,
Jun-01,2001,6,US-TOTAL,Total Electric Power Industry,Other Biomass,1224773,,,
Jun-01,2001,6,US-TOTAL,Total Electric Power Industry,Pumped Storage,-773650,,,
Jun-01,2001,6,US-TOTAL,Total Electric Power Industry,Other,977501,,,
Jun-01,2001,6,US-TOTAL,Total Electric Power Industry,Total,327693978,,,
Jul-01,2001,7,US-TOTAL,Total Electric Power Industry,Coal,179060410,,,
Jul-01,2001,7,US-TOTAL,Total Electric Power Industry,Petroleum,11042028,,,
Jul-01,2001,7,US-TOTAL,Total Electric Power Industry,Natural Gas,73030142,,,
Jul-01,2001,7,US-TOTAL,Total Electric Power Industry,Other Gases,840102,,,
